text,label,label_name
why can't i transfer money to a beneficiary,54,beneficiary_not_allowed
"if i want to send out more cards, do you charge extra for that?",60,getting_spare_card
how can i track my card's delivery?,0,card_arrival
why was i charged an extra fee when doing a transfer?,55,transfer_fee_charged
what should i do if i don't know my password?,38,passcode_forgotten
i withdrew cash but it still shows as pending?,5,pending_cash_withdrawal
what do i do if my google pay top up isn't working?,74,apple_pay_or_google_pay
can you assist on apple watch top ups?,74,apple_pay_or_google_pay
can i have money transferred into my account at different intervals along my trip?,8,automatic_top_up
how do i know if i need a disposable card?,65,get_disposable_virtual_card
could you send me and up date on the arrival of my card?,0,card_arrival
the app does not believe that i am myself,30,unable_to_verify_identity
where can i find information about where my money came from?,50,verify_source_of_funds
where do i find my pin for my new card?,31,get_physical_card
i bought something and i take issue with the exchange rate applied.,3,card_payment_wrong_exchange_rate
can i see my available money?,50,verify_source_of_funds
why are my transfers and purchases keep getting declined?,43,declined_transfer
what's the deal with verifying the top-up?,59,verify_top_up
i can't find out how to top-up my account using cash.,61,top_up_by_cash_or_cheque
what is the top up rate charge for using a card in the us?,70,top_up_by_card_charge
how is an exchange rate calculated?,2,exchange_rate
"my card got trapped inside an atm, what should i do?",48,card_swallowed
can usa residents get a card?,76,country_support
why are you charging me for atm withdrawal? it has always been free before.,72,cash_withdrawal_charge
i have a strange transaction on my account which appears to pertain to a cash withdrawal i made outside nandos in leeds. what is that for? is it fraud?,72,cash_withdrawal_charge
my atm withdraw is stillpending,5,pending_cash_withdrawal
how do i transfer funds if i am paid in gbp?,56,receiving_money
can you tell me the cost of a transfer?,15,top_up_by_bank_transfer_charge
why have i not gotten my new card?,0,card_arrival
"the other bank confirmed a transfer i made, but this account is not reflecting it yet.",67,balance_not_updated_after_bank_transfer
i was made to pay a fee for making a transaction with card.,20,card_payment_fee_charged
what currencies can my account be in?,6,fiat_currency_support
i need immediate assistance in canceling a transfer which was a mistake. please help me quickly so this does not go through.,17,cancel_transfer
where do i verify a top-up card?,59,verify_top_up
how much will i be charged for making a transfer?,15,top_up_by_bank_transfer_charge
the app is telling me that i am not me.,30,unable_to_verify_identity
why did my payment go back to my account when i bought something?,52,reverted_card_payment?
tell me your opinion on the exchange rate.,2,exchange_rate
i accidentally made a payment to a wrong account. what should i do?,17,cancel_transfer
do you know what your exchange rates are?,2,exchange_rate
i got some cash but it wasn't the right amount.,19,wrong_amount_of_cash_received
explain the extra atm fees.,72,cash_withdrawal_charge
what should i do with my stuck atm?,48,card_swallowed
